#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-29T23:08:58 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-29T23:08:58	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FAJ%2F152%2F50&-out.all&-out.max=2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520050
#Name: J/AJ/152/50
#Title: Cosmicflows-3 catalog (CF3) (Tully+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	creator=Tully R.B.	    First author or institution
#INFO	cites=bibcode:2016AJ....152...50T	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/50	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520050	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-08-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_AJ_152_50_table2:
#Name: J/AJ/152/50/table2
#Title: Summary group properties
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Nest	(I6)	[100001/400002]? 2MASS "nest" group identification (Tully 2015, Cat. J/AJ/149/171)	[ucd=meta.id]
#Column	o_<DM>	(I3)	[1/161] Number of galaxies in group with distance measures (N_d_^gp^)	[ucd=meta.number]
#Column	<DM>	(F5.2)	[18.4/38.5] Weighted average group distance modulus (<{mu}>^gp^)	[ucd=phot.mag.distMod]
#Column	e_<DM>	(F5.2)	[0.02/0.54] One standard deviation uncertainty in <DM> ({epsilon}_{mu}_^gp^)	[ucd=stat.error]
#Column	<Dist>	(F5.1)	[0/494.3] Luminosity distance to group; weighted average of distance moduli	[ucd=pos.distance;pos.heliocentric]
#Column	Abell	(A5)	Abell Cluster identification (ASxxx are from the southern supplement list)	[ucd=meta.id]
#Column	GName	(a9)	Alternative name for group or cluster	[ucd=meta.id]
#Column	Npv	(I3)	[1/197] Number of galaxies in group with positions and velocities in the 2MRS catalog (Huchra et al. 2012, Cat. J/ApJS/199/26) (N_v_)	[ucd=meta.number]
#Column	PGC1	(I7)	[14/9003164] Principal Galaxies Catalog identifier of brightest group member	[ucd=meta.id.assoc]
#Column	GLON	(F6.2)	Group Galactic longitude (Glon^gp^)	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Group Galactic latitude (Glat^gp^)	[ucd=pos.galactic.lat]
#Column	SGLON	(F8.4)	Group Supergalactic longitude (SGL^gp^) (G1)	[ucd=pos.supergalactic.lon]
#Column	SGLAT	(F8.4)	Group Supergalactic latitude (SGB^gp^) (G1)	[ucd=pos.supergalactic.lat]
#Column	logLKs	(F5.2)	[0/14.43] Log summed Ks luminosity of group (LogL^gp^) (G2)	[ucd=phys.luminosity;em.IR.K]
#Column	CF	(F6.2)	[0/118.1] Luminosity selection function correction factor (cf)	[ucd=arith.factor]
#Column	sigP	(I4)	[0/2303] Projected velocity dispersion ({sigma}_p_) (G3)	[ucd=phys.veloc.dispersion]
#Column	R2t	(F7.4)	[0/84] Projected second turnaround radius (R_2t_) (G4)	[ucd=phys.size.radius]
#Column	<HV>	(I5)	[-376/29980] Group heliocentric velocity (V_h_^gp^)	[ucd=phys.veloc;pos.heliocentric]
#Column	<Vgsr>	(I5)	[-189/29883] Group velocity in Galactic standard of rest (V_gsr_^gp^) (G5)	[ucd=phys.veloc;pos.galactocentric]
#Column	<Vls>	(I5)	[-158/29882] Group velocity in Local Sheet standard of rest (Tully et al. 2008, Cat. J/ApJ/676/184) (V_ls_^gp^)	[ucd=phys.veloc;pos.lsr]
#Column	<Vcmb>	(I5)	[-669/29820] Group velocity in CMB standard of rest (Fixsen et al. 1996ApJ...473..576F) (V_cmb_^gp^)	[ucd=phys.veloc;pos.cmb]
#Column	<Vcmba>	(I5)	[-668/32110] Group velocity in CMB standard of rest, adjusted (V_mod_^gp^) (G6)	[ucd=phys.veloc;pos.cmb]
#Column	sigma	(I4)	[0/2401]? RMS group velocity dispersion (V_rms_)	[ucd=stat.stdev;phys.veloc.dispersion;pos.lg]
#Column	Mvir	(F9.3)	[0/29467] Group mass from virial theorem (M_12_^bw^) (G7)	[ucd=phys.mass]
#Column	Mlum	(F10.4)	[0/24401] Group mass from luminosity (M_12_^L^) (G8)	[ucd=phys.mass]
#Column	LDC	(I4)	[3/1538]? Low density group identifier (Crook et al. 2007, Cat. J/ApJ/655/790)	[ucd=meta.id]
#Column	HDC	(I4)	[2/1258]? High density group identifier (Crook et al. 2007, Cat. J/ApJ/655/790)	[ucd=meta.id]
#Column	2M++	(I4)	[0/4715]? Group identifier from 2MASS++ catalog (Lavaux & Hudson 2011, Cat. J/MNRAS/416/2840)	[ucd=meta.id]
#Column	MK2011	(I7)	[0/5067059] Group identifier from MK2011 catalog (Makarov & Karachentsev 2011, Cat. J/MNRAS/412/2498) (M&K)	[ucd=meta.id;meta.main]
#Column	Icnt	(I4)	[0/2941]? Internal reference identifier	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Nest	o_<DM>	<DM>	e_<DM>	<Dist>	Abell	GName	Npv	PGC1	GLON	GLAT	SGLON	SGLAT	logLKs	CF	sigP	R2t	<HV>	<Vgsr>	<Vls>	<Vcmb>	<Vcmba>	sigma	Mvir	Mlum	LDC	HDC	2M++	MK2011	Icnt	Simbad	_RA.icrs	_DE.icrs
     798	   5218	LEDA	 35.65	H,I          	2	32.76	 0.30	32.70	 0.40	       	 	     	32.83	 0.45	     	     	    	01 24 45.8	+09 59 39	136.3366	-52.0076	308.1140	 -4.3426	 4.1	 0.310	13.94	 9.36	 2720	 2816	 2873	 2409	 2424	NGC00522  	200164	  8	32.68	 0.11	 34.4	     	         	  9	   5222	136.42	-52.52	307.6117	 -4.4334	11.64	  1.01	 225	 0.612	 2465	 2560	 2616	 2154	 2166	 171	   10.093	   22.800	  90	  75	4481	       	 913	  0	  0	  1	  1	  1	2M	LEDA    5218
     799	   5221	LEDA	 52.48	F            	1	33.60	 0.50	33.60	 0.50	       	 	     	     	     	     	     	    	01 24 47.7	+01 36 26	139.8732	-60.1625	300.0338	 -6.7240	-5.0	 0.109	14.80	10.84	 4885	 4955	 5003	 4576	 4631	IC1694    	200184	  4	33.75	 0.22	 56.2	     	         	  8	   5283	140.01	-59.99	300.2126	 -6.7898	12.20	  1.25	 369	 1.001	 5316	 5386	 5434	 5007	 5073	 351	  125.333	  100.267	  83	    	    	       	    	  0	  0	  0	  0	  1	2M	LEDA    5221
     800	   5222	LEDA	 23.99	S            	1	31.90	 0.28	31.90	 0.28	       	 	     	     	     	     	     	    	01 24 47.7	+09 32 19	136.5055	-52.4516	307.6785	 -4.4815	-1.2	 0.299	11.40	 7.21	 2423	 2518	 2574	 2112	 2123	N0524     	200164	  8	32.68	 0.11	 34.4	     	         	  9	   5222	136.42	-52.52	307.6117	 -4.4334	11.64	  1.01	 225	 0.612	 2465	 2560	 2616	 2154	 2166	 171	   10.093	   22.800	  90	  75	4481	5066675	 908	  0	  0	  1	  1	  1	2M	LEDA    5222
     801	   5226	LEDA	160.69	H            	1	36.03	 0.40	36.03	 0.40	       	 	     	     	     	     	     	    	01 24 49.7	+32 14 04	131.0928	-30.1075	329.3781	  2.2232	 5.2	 0.236	15.40	     	10561	10715	10786	10276	10554	AGC110313 	202755	  1	36.03	 0.40	160.7	     	         	  2	   5217	130.90	-30.19	329.2741	  2.3781	11.99	  2.69	 306	 0.832	10550	10704	10776	10265	10541	  25	         	   57.467	    	    	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    5226
     802	   5231	LEDA	 65.46	F,P          	2	34.08	 0.34	34.14	 0.46	       	 	     	     	     	34.00	 0.50	 1.0	01 24 52.4	-01 37 01	141.7733	-63.2590	296.9125	 -7.6224	-3.9	 0.153	14.64	10.62	 5857	 5916	 5962	 5550	 5632	IC1696    	200011	 36	34.21	 0.07	 69.4	A0194	         	 43	   5324	142.77	-63.00	297.1729	 -8.0829	12.57	  1.26	 511	 1.388	 5321	 5380	 5425	 5016	 5083	 460	  261.333	  266.667	  95	  78	3814	       	2061	  1	  2	  1	  0	  1	2M	LEDA    5231
     803	   5235	LEDA	127.06	F            	1	35.52	 0.50	35.52	 0.50	       	 	     	     	     	     	     	    	01 24 58.8	+01 33 23	139.9897	-60.1996	299.9973	 -6.7825	-1.0	 0.099	16.06	     	 9195	 9265	 9313	 8886	 9094	PGC005235 	200593	  4	35.49	 0.24	125.5	A0189	         	  4	   5192	139.53	-59.85	300.3495	 -6.5451	12.16	  2.41	 356	 0.967	 9856	 9927	 9976	 9546	 9785	 320	         	   90.133	    	    	    	       	2055	  0	  0	  0	  0	  1	2M	LEDA    5235
     804	   5245	LEDA	160.69	F            	1	36.03	 0.50	36.03	 0.50	       	 	     	     	     	     	     	    	01 25 07.6	+08 41 57	136.9367	-53.2538	306.8958	 -4.8019	-5.0	 0.183	14.97	10.41	14821	14913	14968	14510	15061	IC1695    	200552	  6	36.03	 0.20	160.7	A0193	         	  4	   5245	136.98	-53.57	306.5900	 -4.8523	13.02	  6.78	 761	 2.065	14464	14555	14610	14152	14679	 754	         	  878.667	    	    	    	       	2056	  0	  0	  0	  0	  1	2M	LEDA    5245
     805	   5254	LEDA	107.15	H,F,P        	3	35.15	 0.31	35.47	 0.40	       	 	     	     	     	34.64	 0.50	 2.0	01 25 12.7	-35 48 59	265.4130	-78.7259	262.8305	-15.1288	 0.5	 0.083	15.25	11.32	10565	10509	10511	10342	10623	ESO352-072	201335	  1	35.15	 0.31	107.2	     	         	  3	   5416	264.78	-78.74	262.9419	-15.1995	12.14	  2.77	 350	 0.949	10472	10416	10418	10249	10524	  51	         	   85.467	    	    	3255	       	    	  1	  2	  0	  0	  1	2M	LEDA    5254
     806	   5255	LEDA	 81.66	H            	1	34.56	 0.40	34.56	 0.40	       	 	     	     	     	     	     	    	01 25 12.8	-38 04 08	272.1000	-76.9641	260.5202	-15.4570	 3.0	 0.074	14.38	10.80	 6502	 6438	 6438	 6288	 6392	NGC0546   	200258	  4	34.46	 0.22	 78.1	     	         	  7	   5278	272.48	-76.87	260.3932	-15.4596	11.90	  1.41	 283	 0.769	 6102	 6038	 6037	 5888	 5979	 216	   15.733	   45.333	  94	  76	3774	       	    	  0	  2	  1	  0	  1	2M	LEDA    5255
     807	   5260	LEDA	 55.46	H            	1	33.72	 0.40	33.72	 0.40	       	 	     	     	     	     	     	    	01 25 15.6	+34 21 33	130.8334	-27.9929	331.4365	  2.7651	 3.0	 0.234	15.19	     	 4890	 5048	 5121	 4610	 4667	UGC00975  	200006	 21	34.03	 0.07	 64.1	     	NGC507   	 47	   5098	130.71	-28.80	330.6255	  2.7526	12.63	  1.19	 539	 1.464	 4853	 5010	 5082	 4571	 4626	 424	  257.333	  313.333	  79	  73	4352	       	2042	  0	  0	  0	  0	  1	2M	LEDA    5260
     808	   5262	LEDA	186.21	P            	1	36.35	 0.50	     	     	       	 	     	     	     	36.35	 0.50	 1.3	01 25 16.2	-11 54 50	152.1260	-72.8391	286.8613	-10.3625	-5.0	 0.088	15.44	     	15029	15054	15087	14737	15306	          	203955	  2	36.27	 0.35	179.5	     	         	  1	   5262	152.13	-72.84	286.8614	-10.3623	12.47	  8.26	 468	 1.272	15029	15054	15087	14737	15306	   0	         	  205.333	    	    	    	       	    	  1	  2	  0	  0	  0	2M	LEDA    5262
     809	   5264	LEDA	 32.21	H,I          	2	32.54	 0.30	32.51	 0.40	       	 	     	32.58	 0.45	     	     	    	01 25 17.3	+09 15 50	136.7980	-52.6939	307.4499	 -4.6774	 1.9	 0.337	13.95	 8.93	 2370	 2463	 2519	 2059	 2070	NGC00532  	200164	  8	32.68	 0.11	 34.4	     	         	  9	   5222	136.42	-52.52	307.6117	 -4.4334	11.64	  1.01	 225	 0.612	 2465	 2560	 2616	 2154	 2166	 171	   10.093	   22.800	  90	  75	4481	5066675	 908	  0	  0	  1	  1	  1	2M	LEDA    5264
     810	   5268	LEDA	 59.43	N            	1	33.87	 0.17	     	     	2001en 	2	33.87	     	     	     	     	    	01 25 20.8	+34 01 30	130.9097	-28.3209	331.1220	  2.6493	 4.2	 0.196	13.50	 9.77	 4755	 4912	 4985	 4475	 4528	NGC0523   	200006	 21	34.03	 0.07	 64.1	     	NGC507   	 47	   5098	130.71	-28.80	330.6255	  2.7526	12.63	  1.19	 539	 1.464	 4853	 5010	 5082	 4571	 4626	 424	  257.333	  313.333	  79	  73	4352	       	2042	  0	  0	  1	  0	  1	2M	LEDA    5268
     811	   5270	LEDA	147.91	H            	1	35.85	 0.40	35.85	 0.40	       	 	     	     	     	     	     	    	01 25 23.7	+14 31 11	135.1545	-47.5443	312.4968	 -3.1690	 3.0	 0.167	14.98	10.77	11092	11201	11261	10783	11089	UGC00985  	205272	  1	35.85	 0.40	147.9	     	         	  1	   5270	135.15	-47.54	312.4968	 -3.1689	11.89	  2.98	 281	 0.763	11092	11201	11261	10783	11089	   0	         	   44.133	    	    	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    5270
     812	   5273	LEDA	 40.55	H            	1	33.04	 0.40	33.04	 0.40	       	 	     	     	     	     	     	    	01 25 29.6	+07 33 41	137.5143	-54.3434	305.8275	 -5.2155	 9.0	 0.141	 0.00	     	 2790	 2878	 2932	 2479	 2495	UGC00989  	200164	  8	32.68	 0.11	 34.4	     	         	  9	   5222	136.42	-52.52	307.6117	 -4.4334	11.64	  1.01	 225	 0.612	 2465	 2560	 2616	 2154	 2166	 171	   10.093	   22.800	  90	  75	4481	       	 914	  0	  0	  0	  0	  1	2M	LEDA    5273
     813	   5278	LEDA	 82.41	H            	1	34.58	 0.40	34.58	 0.40	       	 	     	     	     	     	     	    	01 25 28.5	-38 16 02	272.4203	-76.7724	260.3236	-15.5356	-0.6	 0.090	14.45	10.30	 6179	 6115	 6114	 5965	 6060	ESO296-026	200258	  4	34.46	 0.22	 78.1	     	         	  7	   5278	272.48	-76.87	260.3932	-15.4596	11.90	  1.41	 283	 0.769	 6102	 6038	 6037	 5888	 5979	 216	   15.733	   45.333	  94	  76	3774	       	    	  0	  2	  1	  0	  1	2M	LEDA    5278
     814	   5283	LEDA	 52.72	F            	1	33.61	 0.50	33.61	 0.50	       	 	     	     	     	     	     	    	01 25 31.4	+01 45 32	140.1454	-59.9686	300.2311	 -6.8568	-4.9	 0.111	12.49	 8.69	 5521	 5591	 5640	 5212	 5284	NGC0533   	200184	  4	33.75	 0.22	 56.2	     	         	  8	   5283	140.01	-59.99	300.2126	 -6.7898	12.20	  1.25	 369	 1.001	 5316	 5386	 5434	 5007	 5073	 351	  125.333	  100.267	    	    	    	       	    	  0	  0	  1	  0	  1	2M	LEDA    5283
     815	   5284	LEDA	 56.23	H,I          	2	33.75	 0.30	33.75	 0.40	       	 	     	33.76	 0.45	     	     	    	01 25 31.5	+32 08 09	131.2784	-30.1824	329.3279	  2.0534	 1.0	 0.220	14.37	10.04	 4669	 4822	 4894	 4385	 4435	UGC00987  	200006	 21	34.03	 0.07	 64.1	     	NGC507   	 47	   5098	130.71	-28.80	330.6255	  2.7526	12.63	  1.19	 539	 1.464	 4853	 5010	 5082	 4571	 4626	 424	  257.333	  313.333	  79	  73	4352	       	2042	  0	  0	  1	  0	  1	2M	LEDA    5284
     816	   5287	LEDA	 68.87	P            	1	34.19	 0.50	     	     	       	 	     	     	     	34.19	 0.50	 2.0	01 25 32.4	-38 17 01	272.4159	-76.7517	260.3087	-15.5504	 0.7	 0.087	15.43	     	 6105	 6041	 6040	 5892	 5983	          	200258	  4	34.46	 0.22	 78.1	     	         	  7	   5278	272.48	-76.87	260.3932	-15.4596	11.90	  1.41	 283	 0.769	 6102	 6038	 6037	 5888	 5979	 216	   15.733	   45.333	  94	  76	3774	       	    	  1	  2	  0	  0	  0	2M	LEDA    5287
     817	   5289	LEDA	 52.48	F            	1	33.60	 0.46	33.60	 0.46	       	 	     	     	     	     	     	    	01 25 32.0	-01 30 09	142.0504	-63.1019	297.0684	 -7.7507	-0.3	 0.156	14.95	10.94	 6591	 6650	 6696	 6285	 6389	UGC00996  	200011	 36	34.21	 0.07	 69.4	A0194	         	 43	   5324	142.77	-63.00	297.1729	 -8.0829	12.57	  1.26	 511	 1.388	 5321	 5380	 5425	 5016	 5083	 460	  261.333	  266.667	  95	  78	3814	       	2061	  0	  1	  0	  0	  1	2M	LEDA    5289
     818	   5290	LEDA	 72.44	F            	1	34.30	 0.46	34.30	 0.46	       	 	     	     	     	     	     	    	01 25 33.6	+33 40 17	131.0197	-28.6638	330.7971	  2.5023	-2.0	 0.234	13.63	 9.64	 4751	 4907	 4980	 4470	 4523	NGC0528   	200006	 21	34.03	 0.07	 64.1	     	NGC507   	 47	   5098	130.71	-28.80	330.6255	  2.7526	12.63	  1.19	 539	 1.464	 4853	 5010	 5082	 4571	 4626	 424	  257.333	  313.333	  79	  73	4352	       	2042	  0	  0	  1	  0	  1	2M	LEDA    5290
     819	   5299	LEDA	 52.48	F            	1	33.60	 0.46	33.60	 0.46	       	 	     	     	     	     	     	    	01 25 40.3	+34 42 46	130.8686	-27.6307	331.7998	  2.7887	-3.2	 0.174	13.13	 9.21	 4795	 4953	 5026	 4517	 4571	NGC0529   	200006	 21	34.03	 0.07	 64.1	     	NGC507   	 47	   5098	130.71	-28.80	330.6255	  2.7526	12.63	  1.19	 539	 1.464	 4853	 5010	 5082	 4571	 4626	 424	  257.333	  313.333	  79	  73	4352	       	2042	  0	  0	  1	  0	  1	2M	LEDA    5299
     820	   5303	LEDA	225.94	P            	1	36.77	 0.50	     	     	       	 	     	     	     	36.77	 0.50	 2.3	01 25 36.6	-07 44 24	147.1697	-68.9881	290.9863	 -9.4054	 1.4	 0.159	15.64	     	12535	12574	12612	12236	12630	          	205469	  1	36.77	 0.50	225.9	     	         	  1	   5303	147.17	-68.99	290.9863	 -9.4054	11.83	  4.13	 266	 0.723	12535	12574	12612	12236	12630	   0	         	   37.600	    	    	    	       	    	  1	  2	  0	  0	  0	2M	LEDA    5303
     821	   5305	LEDA	 66.37	F            	1	34.11	 0.46	34.11	 0.46	       	 	     	     	     	     	     	    	01 25 44.3	-01 22 46	142.0790	-62.9691	297.2021	 -7.7667	-3.6	 0.166	13.13	 9.47	 5384	 5444	 5489	 5078	 5146	NGC0541   	200011	 36	34.21	 0.07	 69.4	A0194	         	 43	   5324	142.77	-63.00	297.1729	 -8.0829	12.57	  1.26	 511	 1.388	 5321	 5380	 5425	 5016	 5083	 460	  261.333	  266.667	  95	  78	3814	       	2061	  0	  1	  1	  0	  1	2M	LEDA    5305
     822	   5306	LEDA	 60.26	F            	1	33.90	 0.50	33.90	 0.50	       	 	     	     	     	     	     	    	01 25 48.1	-01 29 32	142.1849	-63.0723	297.0968	 -7.8123	-2.5	 0.154	16.13	     	 5164	 5223	 5268	 4858	 4920	PGC005306 	200011	 36	34.21	 0.07	 69.4	A0194	         	 43	   5324	142.77	-63.00	297.1729	 -8.0829	12.57	  1.26	 511	 1.388	 5321	 5380	 5425	 5016	 5083	 460	  261.333	  266.667	    	    	3814	       	2061	  0	  2	  0	  0	  1	2M	LEDA    5306
     823	   5307	LEDA	 62.52	F            	1	33.98	 0.46	33.98	 0.46	       	 	     	     	     	     	     	    	01 25 44.3	-01 27 24	142.1286	-63.0429	297.1270	 -7.7875	-1.9	 0.159	15.13	10.89	 5251	 5310	 5356	 4945	 5010	UGC01003  	200011	 36	34.21	 0.07	 69.4	A0194	         	 43	   5324	142.77	-63.00	297.1729	 -8.0829	12.57	  1.26	 511	 1.388	 5321	 5380	 5425	 5016	 5083	 460	  261.333	  266.667	  95	  78	3814	       	2061	  0	  1	  0	  0	  1	2M	LEDA    5307
     824	   5311	LEDA	 99.54	F            	1	34.99	 0.46	34.99	 0.46	       	 	     	     	     	     	     	    	01 25 50.0	-01 17 34	142.0729	-62.8793	297.2927	 -7.7659	-2.8	 0.148	14.22	10.83	 5235	 5295	 5340	 4929	 4993	NGC0543   	200011	 36	34.21	 0.07	 69.4	A0194	         	 43	   5324	142.77	-63.00	297.1729	 -8.0829	12.57	  1.26	 511	 1.388	 5321	 5380	 5425	 5016	 5083	 460	  261.333	  266.667	  95	  78	3814	       	2061	  0	  1	  1	  0	  1	2M	LEDA    5311
     825	   5313	LEDA	 63.97	F            	1	34.03	 0.50	34.03	 0.50	       	 	     	     	     	     	     	    	01 25 47.7	-01 20 40	142.0859	-62.9315	297.2399	 -7.7707	-1.0	 0.159	16.05	11.51	 5536	 5596	 5641	 5230	 5302	PGC005313 	200011	 36	34.21	 0.07	 69.4	A0194	         	 43	   5324	142.77	-63.00	297.1729	 -8.0829	12.57	  1.26	 511	 1.388	 5321	 5380	 5425	 5016	 5083	 460	  261.333	  266.667	    	    	3814	       	2061	  0	  1	  0	  0	  1	2M	LEDA    5313
     826	   5323	LEDA	 66.99	F            	1	34.13	 0.50	34.13	 0.50	       	 	     	     	     	     	     	    	01 25 59.2	-01 20 24	142.1835	-62.9134	297.2572	 -7.8155	-2.9	 0.150	13.34	     	 5339	 5399	 5444	 5033	 5100	NGC0545   	200011	 36	34.21	 0.07	 69.4	A0194	         	 43	   5324	142.77	-63.00	297.1729	 -8.0829	12.57	  1.26	 511	 1.388	 5321	 5380	 5425	 5016	 5083	 460	  261.333	  266.667	    	    	3814	       	2061	  0	  0	  1	  0	  1	2M	LEDA    5323
     827	   5324	LEDA	 72.44	F            	1	34.30	 0.50	34.30	 0.50	       	 	     	     	     	     	     	    	01 26 00.6	-01 20 42	142.1998	-62.9164	297.2540	 -7.8229	-4.8	 0.150	13.13	 8.48	 5527	 5587	 5632	 5221	 5293	NGC0547   	200011	 36	34.21	 0.07	 69.4	A0194	         	 43	   5324	142.77	-63.00	297.1729	 -8.0829	12.57	  1.26	 511	 1.388	 5321	 5380	 5425	 5016	 5083	 460	  261.333	  266.667	  95	  78	3814	       	2061	  0	  1	  1	  0	  1	2M	LEDA    5324
     828	   5326	LEDA	 84.72	F            	1	34.64	 0.46	34.64	 0.46	       	 	     	     	     	     	     	    	01 26 02.5	-01 13 32	142.1392	-62.7999	297.3722	 -7.7980	-3.8	 0.132	14.67	11.29	 5418	 5478	 5523	 5112	 5181	NGC0548   	200011	 36	34.21	 0.07	 69.4	A0194	         	 43	   5324	142.77	-63.00	297.1729	 -8.0829	12.57	  1.26	 511	 1.388	 5321	 5380	 5425	 5016	 5083	 460	  261.333	  266.667	    	    	3814	       	2061	  0	  1	  1	  0	  1	2M	LEDA    5326
     829	   5329	LEDA	 24.77	I            	1	31.97	 0.54	     	     	       	 	     	31.97	 0.54	     	     	    	01 25 57.9	-03 58 54	144.0363	-65.4290	294.6840	 -8.5163	 8.0	 0.121	15.27	     	 1994	 2045	 2087	 1691	 1698	PGC005329 	      	  1	31.97	 0.54	 24.8	     	         	  1	   5329	144.04	-65.43	294.6840	 -8.5163	     	      	    	      	 1994	 2045	 2087	 1691	 1698	    	         	         	    	    	    	       	    	  0	  0	  1	  0	  0	2M	LEDA    5329
     830	   5331	LEDA	210.86	P            	1	36.62	 0.50	     	     	       	 	     	     	     	36.62	 0.50	 2.0	01 26 06.7	-13 25 12	155.2311	-74.0759	285.4239	-10.9234	-2.3	 0.078	15.89	     	14211	14230	14262	13923	14431	          	200392	  3	36.74	 0.29	222.8	     	         	  5	   5355	155.08	-73.85	285.6627	-10.9452	13.14	  8.57	 846	 2.296	15147	15167	15199	14859	15440	 853	  425.333	 1208.000	    	    	    	       	    	  1	  2	  0	  0	  0	2M	LEDA    5331
     831	   5341	LEDA	 23.55	H,I          	2	31.86	 0.30	31.83	 0.40	       	 	     	31.90	 0.45	     	     	    	01 26 14.5	-06 05 38	145.9699	-67.3960	292.6387	 -9.1344	 5.6	 0.165	13.89	10.62	 1959	 2003	 2043	 1659	 1666	AGC410203 	200207	  5	31.93	 0.13	 24.3	     	         	  8	   5663	151.05	-67.63	292.1432	-11.0273	11.46	  1.00	 192	 0.521	 1904	 1940	 1978	 1611	 1618	  81	    3.160	   14.133	 119	  85	4475	5066676	 895	  0	  2	  0	  1	  1	2M	LEDA    5341
     832	   5344	LEDA	 64.57	H,I          	2	34.05	 0.30	33.98	 0.40	       	 	     	34.13	 0.45	     	     	    	01 26 21.8	+34 42 10	131.0287	-27.6190	331.8325	  2.6501	 3.1	 0.187	13.22	 9.34	 5183	 5341	 5414	 4905	 4969	UGC01013  	200006	 21	34.03	 0.07	 64.1	     	NGC507   	 47	   5098	130.71	-28.80	330.6255	  2.7526	12.63	  1.19	 539	 1.464	 4853	 5010	 5082	 4571	 4626	 424	  257.333	  313.333	  79	  73	4352	       	2042	  0	  0	  1	  0	  1	2M	LEDA    5344
     833	   5351	LEDA	 62.52	P            	1	33.98	 0.50	     	     	       	 	     	     	     	33.98	 0.50	 3.7	01 26 25.2	-01 38 20	142.6072	-63.1664	296.9964	 -8.0005	-0.6	 0.173	15.25	     	 5551	 5609	 5654	 5246	 5318	          	200011	 36	34.21	 0.07	 69.4	A0194	         	 43	   5324	142.77	-63.00	297.1729	 -8.0829	12.57	  1.26	 511	 1.388	 5321	 5380	 5425	 5016	 5083	 460	  261.333	  266.667	  95	  78	3814	       	    	  1	  2	  1	  0	  0	2M	LEDA    5351
     834	   5352	LEDA	126.47	P            	1	35.51	 0.50	     	     	       	 	     	     	     	35.51	 0.50	 1.0	01 26 26.2	-37 27 26	269.5865	-77.3097	261.1839	-15.6108	-2.9	 0.056	14.89	     	 9371	 9309	 9309	 9155	 9376	          	202662	  2	36.43	 0.35	193.2	     	         	  2	   5315	269.65	-77.40	261.2426	-15.5392	11.97	  2.27	 301	 0.817	 9340	 9278	 9279	 9124	 9342	  33	         	   54.533	    	    	3320	       	    	  1	  2	  1	  0	  0	2M	LEDA    5352
     835	   5375	LEDA	 20.89	H,I          	2	31.60	 0.30	31.60	 0.40	       	 	     	31.60	 0.45	     	     	    	01 26 42.3	-25 18 53	201.9952	-81.8874	273.5677	-13.6334	 8.8	 0.053	15.14	     	 1604	 1582	 1599	 1346	 1351	ES476-010 	      	  1	31.60	 0.30	 20.9	     	         	  1	   5375	202.00	-81.89	273.5677	-13.6334	     	      	    	      	 1604	 1582	 1599	 1346	 1351	    	         	         	    	    	    	       	 923	  0	  2	  1	  1	  1	2M	LEDA    5375
